#/bin/bash
DYJetsToLL,DYJetsToLL,5398.0,82448537 ,82448537,,/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
WJetsToLNu,WJetsToLNu,53870.0,88463979,88463979,,/WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16NanoAODv2-106X_mcRun2_asymptotic_v15-v1/NANOAODSIM
ZZTo4L,ZZ,1.325,52104000,52104000,,/ZZTo4L_TuneCP5_13TeV_powheg_pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
WZTo3LNu,WZ,5.213,10441724,10441724,,/WZTo3LNu_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
WWZ,WWZ,0.1707,4595000,4595000,,/WWZ_4F_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17_ext1-v1/NANOAODSIM
WZZ,WZZ,0.05709,4554000,4554000,,/WZZ_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17_ext1-v1/NANOAODSIM
ZZZ,ZZZ,0.01476,4534000,4534000,,/ZZZ_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17_ext1-v1/NANOAODSIM
TTZ,TTZ,0.5407,14329456,14329456,,/ttZJets_TuneCP5_13TeV_madgraphMLM_pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
HZJ,HZJ,0.08237,2976898,2976898,,/HZJ_HToWWTo2L2Nu_ZTo2L_M-125_TuneCP5_13TeV-powheg-jhugen727-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v2/NANOAODSIM
GluGluZH_HToWWTo2L2Nu,Other,0.0616,245929,245929,,/GluGluZH_HToWWTo2L2Nu_M-125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v2/NANOAODSIM
GluGluZH_HToWW_ZTo2L,Other,0.006185,250000,250000,,/GluGluZH_HToWW_ZTo2L_M-125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v2/NANOAODSIM
#GluGluToContinToZZTo4e,Other,1.619,992608,992608,,/GluGluToContinToZZTo4e_TuneCP5_13TeV-mcfm701-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v2/NANOAODSIM
#GluGluToContinToZZTo4mu,Other,1.608,997445,997445,,/GluGluToContinToZZTo4mu_TuneCP5_13TeV-mcfm701-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v2/NANOAODSIM
#GluGluToContinToZZTo4tau,Other,1.626,499183,499183,,/GluGluToContinToZZTo4tau_TuneCP5_13TeV-mcfm701-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
#GluGluToContinToZZTo2e2mu,Other,3.292,499000,499000,,/GluGluToContinToZZTo2e2mu_TuneCP5_13TeV-mcfm701-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
#GluGluToContinToZZTo2e2tau,Other,3.294,500000,500000,,/GluGluToContinToZZTo2e2tau_TuneCP5_13TeV-mcfm701-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
#GluGluToContinToZZTo2mu2tau,Other,3.294,500000,500000,,/GluGluToContinToZZTo2mu2tau_TuneCP5_13TeV-mcfm701-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
GluGluToContinToZZTo4e,Other,0.001619,992608,992608,,/GluGluToContinToZZTo4e_TuneCP5_13TeV-mcfm701-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v2/NANOAODSIM
GluGluToContinToZZTo4mu,Other,0.001608,997445,997445,,/GluGluToContinToZZTo4mu_TuneCP5_13TeV-mcfm701-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v2/NANOAODSIM
GluGluToContinToZZTo4tau,Other,0.001626,499183,499183,,/GluGluToContinToZZTo4tau_TuneCP5_13TeV-mcfm701-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
GluGluToContinToZZTo2e2mu,Other,0.003292,499000,499000,,/GluGluToContinToZZTo2e2mu_TuneCP5_13TeV-mcfm701-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
GluGluToContinToZZTo2e2tau,Other,0.003294,500000,500000,,/GluGluToContinToZZTo2e2tau_TuneCP5_13TeV-mcfm701-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
GluGluToContinToZZTo2mu2tau,Other,0.003294,500000,500000,,/GluGluToContinToZZTo2mu2tau_TuneCP5_13TeV-mcfm701-pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ggTo2mu2tau_15,a15,1638.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-15_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ggTo2mu2tau_20,a20,2882.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-20_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ggTo2mu2tau_25,a25,4382.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-25_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ggTo2mu2tau_30,a30,6058.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-30_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ggTo2mu2tau_35,a35,7804.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-35_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ggTo2mu2tau_40,a40,9452.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-40_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ggTo2mu2tau_45,a45,10830.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-45_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ggTo2mu2tau_50,a50,11550.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-50_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ggTo2mu2tau_55,a55,11070.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-55_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
ggTo2mu2tau_60,a60,7780.0,125000,125000,,/GluGluToHToAA_AToMuMu_AToTauTau_M-60_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16NanoAODv9-106X_mcRun2_asymptotic_v17-v1/NANOAODSIM
